comment_id,text,like_count,author,published_at
UgxL2e8CRUpEXUt0y5F4AaABAg,"02:21 ""커피 주문하러 왔는데, 갑자기 말을 거니까..."" Z세대 당사자에게 직접 물어봄",2532,@SUBUSUNEWS,2025-09-02T10:43:25Z
Ugw0V5ty11BRJ57tTK54AaABAg,저런 애들이 업무 알려줘도 아무 질문도 없다가 나중엔 틀리고서 얼굴에 철판깔음,0,@hjk6112,2025-12-10T08:21:17Z
Ugwyj8kf5zsXQfrRlq14AaABAg,감독 팔에핏줄개간지네,0,@Thuggerloui,2025-12-10T07:21:32Z
UgzlWDEJxSpyATKhpVV4AaABAg,대답을 버벅일 순 있음  근데 뻔히 쳐다보는 건 그냥 정신질환인듯,0,@hansrordt,2025-12-10T01:26:39Z
Ugw3ALbCyUnaQxhPn1t4AaABAg,혼돈의 카오스,0,@lsi0521,2025-12-08T15:36:27Z
UgyXwNBsKgkMy0NIPdl4AaABAg,내가 사장이면 욕하고 짜름 지보다 똑바른 얘들 넘쳐남,0,@lsi0521,2025-12-08T15:35:06Z
UgycKbX0JALVmeZZAlN4AaABAg,아.....sns........,0,@이니쨩쨩,2025-12-08T07:19:23Z
UgyrotkcpA1U8i8mkth4AaABAg,"코로나까지 거치면서 심각해진거네. 오프라인 세대는 무조건해야하는 대인 대면 행위를 많이 경험하면, 상투적인 반응이 자동으로 나올 듯.",0,@sss-xs7jf,2025-12-06T09:43:37Z
UgzCpF2CNRZ5Uc0knnh4AaABAg,이런 친구가 많긴 하드라. 일단 이라도 비난받을 상황을 안만들려는 것 같고. 힘겨루기 측면도 있는 것 같어. 누가 먼저 말하나. 너가 먼저 말해. 내가 말 안 해도 내 마음을 알아서 네가 알아서 처리해라. 집에서도 가만히 있으면 부모님이 다 해줘서 그런 것 아닐까. 싶기도.,0,@AL-is2wv,2025-12-02T21:32:44Z
UgxZq1Y6W8ITEhU47zx4AaABAg,저건 지능이 퇴보하고 있다는거다.. 그리고 1찍2찍이 아직까지도 뭐 단순히 정치얘기라고 생각하는 사람들이 있는데.. 그냥 한국이랑 중국북한의 이야기다. 그리고 여긴 자유대한민국이 맞고 이 나라는 미국과 이승만 대통령이 같이 만든 미국이 낳은 나라이다. 중북들은 그런 자유대한민국을 다시 조선시대로 되돌릴려고 하는거고.. 제발 좀... 이제는 정신들 좀 차려라..,0,@Kyotosaka,2025-12-02T11:47:45Z
UgwwWe3bxry0xLPWOSx4AaABAg,이건 그냥 멍청한건데...,0,@김동욱-d3z9s,2025-12-02T09:57:00Z
Ugwet_p0x9fq2m5rRYl4AaABAg,띠리한거죠. 옛날같으면 맞을 짓들입니다.,0,@김세호-x1o,2025-12-02T09:22:42Z
UgyVEenj39iB8X-Ofad4AaABAg,상대를 빤히 보고 반응하지 않는 것은 상대방을 무시하는 태도임.,0,@ilso6323,2025-11-29T22:13:58Z
Ugw170WabfXT9M7AZNV4AaABAg,이게 바로 [이디오크러시] 영화 꼭 보길 ㅋㅋ 멍퉁> 해진는인류,1,@palpaljiyeon,2025-11-28T01:17:12Z
UgwuplW2U0sg17Wn9Tl4AaABAg,다른 경험을 한 세대간의 차이? 라고 해도 사람 앞에두고 저따구로 행동하는건 문제지 지능과 소통능력이 자꾸 떨어지는 현상 영화 이디오크러시 생각나네,0,@듀크퐁,2025-11-27T09:02:42Z
UgxkQaQ68tyamqm9cIx4AaABAg,세상이 정상화되는거임  까놓고 학교직장에서 사회성이라고 보기좋게 포장하지만 꼰대들수발들고 정치질뒷담하는것도  사회성이라면 사회성이겠지 보기좋게 포장해서 세뇌했던거임  반대관점으로도 생각해본다  친한애들끼리는 밝지만 모르는사람한테는 저게 일반적인반응임 가면쓰고 사회에서 개나소나 비유맞춰주면 그분들이 좋다고 하겠지만 그게 진정 의미있는관계는 아니잔아ㅇㅇ,0,@김도훈-d7j,2025-11-27T07:08:09Z
UgzvBUWY5hWzdcVF_FV4AaABAg,난 저런현상. 왜생기는지알듯 있는모습그대로 표현하면 보수적인사회특성상 눈치를 주니까 점점 편한소수가 아니면 경계하는거지,0,@김도훈-d7j,2025-11-27T06:54:10Z
UgzJx23yWtNT5IGbvFd4AaABAg,이거보고 내향인은 다 저렇다 라는사람은 없길..  내향인사회형이라고 따로 있다,0,@김도훈-d7j,2025-11-27T06:50:32Z
UgxPWhWrCP4qvDnUh9R4AaABAg,그럼뭐 어린애가 행인 때리면 젠지 터치냐? 걍 못배운거고 예의가 없는건데 그걸또 포장해주네 ㅋㅋㅋㅋ,0,@percivence,2025-11-27T00:06:13Z
Ugy50Ws50b39q1-ukId4AaABAg,젊은 애들만 그런거 아닌데  세대관련 없이 가게 앞에 딱 서서 가만히 처다보고 있는 사람들 있음 안에와서도 마찬가지  말을 걸어도 마찬가지 난 이런 이들 충청도인들이라 정의했음,0,@qkqj2002,2025-11-26T11:24:05Z
Ugw9rwaIQUJeapKfDYJ4AaABAg,저정도 말에 당황할 정도면 사회생활은 어떻게 하려고 그러는건지,0,@경은222,2025-11-26T02:07:21Z
Ugxex9-CYwNC8wJWrPZ4AaABAg,"이거 그냥 '부모/선생한테 대화태도에 대해 혼난적없음 + 어린나이 사회성부족 '임.   후배가 저렇게 사회성 없는 애가 들어왔는데 초반에 잘해줘도 계속 시큰둥한 태도로 책임감 없이 일하길래 . 눈눈이이로 차갑게 갈구고 당근과 채찍 왔다갔다 했음. 그 후로 이 친구도 리액션하고 잘웃고 책임감, 사회성 좋아짐. 같은 성인을 채찍질하고 훈육하라는 말이 아님...   '너가 이런 태도로 행동하면-남들은 너를 무례한사람이라 생각할거고-너에게 불이익이 생길거야 '<< 이걸 깨달으면 사회생활하면서 서서히 고쳐지는듯함.",3,@user7110-f9r,2025-11-25T22:36:06Z
UgwmbTcG2qx7DqnYNwR4AaABAg,나이 많아도 저런 사람 있음.. 공통적으로 이미지가 안좋아짐,0,@benjamin-kp2bn,2025-11-23T14:39:18Z
