author,comment_id,label,like_count,published_at,text
,UgwfziWD99DeXcCdPI14AaABAg,neg,,,I hate AI because my youngest son might see this and be terrified
,UgxbG0Zd26RiZy1jvc14AaABAg,neg,,,"청결도를 판단하긴 ㅋㅋ
정확한 지표는 화장실을 스스로 갈 수 있나 없나 보면 정확함

자신의 생리현상을 남에게 떠 맡기지 않고 스스로 찾아서 가는 사람이 진짜 청결한 사람임

보통 다 화장실 못찾아서 화장실 어딨어요? (저 오줌 똥 마려운데 정신나이 5살이라 못찾아용 힝)
비밀번호 모에요? (전 시야가 좁고 글자를 읽을 줄 몰라요 힝)
도어락 어떻게 열어요? (이건 진짜 왜 이러는지 모르겠음ㅋㅋ 요즘 5~60대 이상이면 이해하는데 20대 초반이 좀 많은)"
,UgypTDCoBpzaKGOWiCt4AaABAg,neu,,,"어제 경기 끝나고 피드백 하는거 보면 스맵님이랑 탈리님 의견 차이가 좀 있는듯. 스맵은 진성 탑이라 난 챌이고 혼자서도 잘 크니까 탈리 너가 본대 다 데리고 다니면서 이득봐. 이거고 나탈리는 내가 3명 조종하기 너무 힘들다. 형도 다쁘든 효딤이든 데리고 가서 조종 좀 해달라. 이건데 끝까지 이해를 못함. 스맵도 이해가 되는게 2명 데리고 하는것보다 3명을 데리고 주도권 잡는게 좋다는 마인드고, 탈리는 그게 힘들다는거고. 스맵은 혼자서 클수있고 큰 다음에는 캐리해줄게. 이런건데 탈리는 어쨋든 2인 3인이 움직이니까 그 동안 이 사람들 데리고 이득을 봐야 한다는 부담감이 엄청 있음. 그러니까 첫용싸움에 무리를 계속 함. 오브젝트를 계속 무리하게 하는 경향이 있음. 처음엔 저티어 바텀인데 왤케 욕심 내냐. 생각했는데 어제 피드백 들어보면 자기도 챌이고 많은 인원을 컨트롤 하니까 어쨋든 이득을 봐줘야 한다는 부담감이 많은듯. 근데 스매부가 좀 나눠서 해주긴 해야 할듯. 계속 다쁘든 효딤이든 데려가서 이득을 봐라 라고 하는데 스맵은 진성 탑이라 혼자 할게가 편한듯ㅋㅋㅋ 이것만 해결 되면 우승할만 할듯"
,Ugy6t8yJ8-J-z-ahToV4AaABAg,neg,,,전준우ㅋㅋㅋ야~꼴등하는데 기여많이 했지^^주라 줘~~최초의 우승 없이 꼴등 기여레전드~~강민호가 전준우 죽이네ㅋㅋㅋ
,Ugw0rypqHw6gECWVzZF4AaABAg,neu,,,NC 최초 영번은 우리 민우 다~!!!!!
,UgzKNQHmeh1ZFUZSoL14AaABAg,pos,,,"실전에서 카서스로 대변혁 두번 먹어봤는데 저러면 내 템 나와도 상대는 골드를 다 같이 먹어서 손해인거 같음 걍 하는게 낫다고 생각
기도해서 보건도 먹으면 궁두번에 상대 딜러 죽일수있음 꿀잼"
,Ugyii9jtS6AO2ObCK1p4AaABAg,pos,,,어이쿠 잘한다? 언어천채 우리 도담이?? 우리 소담이도 따라하는게 너무 귀여워?
,UgxOJMK0rN4Q174YIb14AaABAg,neg,,,확실히 아닌 건 아니라고 해주시는 게 좋음. 마이크 소름 ㄷㄷ
,UgywjtAC5Hqoe_mGHz94AaABAg,neg,,,This is so Ai
,Ugw31iV6l8TOyCZqmLh4AaABAg,neg,,,People think it’s real but it’s AI??
